"","bear","Food","sd","len","min","max"
"1","A.melanoleuca","vegetal",0,100,100,100
"2","A.melanoleuca","vertebrate",0,0,0,0
"3","A.melanoleuca","insect",0,0,0,0
"4","U.thibetanus","vegetal",23.2008705206651,75.370625,52.1697544793349,52.1697544793349
"5","U.thibetanus","vertebrate",6.3578316206602,4.813125,-1.5447066206602,-1.5447066206602
"6","U.thibetanus","insect",22.74248502253,19.81625,-2.92623502252997,-2.92623502252997
"7","T. ornatus","vegetal",4.83000724637137,95.972,91.1419927536286,91.1419927536286
"8","T. ornatus","vertebrate",2.38693736826084,2.308,-0.0789373682608434,-0.0789373682608434
"9","T. ornatus","insect",2.52244326001597,1.722,-0.800443260015971,-0.800443260015971
"10","U. americanus","vegetal",18.8416863540404,74.9891304347826,56.1474440807422,56.1474440807422
"11","U. americanus","vertebrate",14.5174736883691,11.8817391304348,-2.63573455793435,-2.63573455793435
"12","U. americanus","insect",13.4274027814222,13.13,-0.29740278142223,-0.29740278142223
"13","H. malayanus","vegetal",22.2636115668595,49.66,27.3963884331405,27.3963884331405
"14","H. malayanus","vertebrate",7.20461102350432,3.222,-3.98261102350432,-3.98261102350432
"15","H. malayanus","insect",19.5047063551339,47.118,27.6132936448661,27.6132936448661
"16","U. arctos","vegetal",25.2632005739127,61.1242553191489,35.8610547452362,35.8610547452362
"17","U. arctos","vertebrate",25.6473963763979,28.6406382978723,2.99324192147447,2.99324192147447
"18","U. arctos","insect",13.0674845070255,10.2355319148936,-2.83195259213185,-2.83195259213185
"19","M. ursinus","vegetal",14.9083351406744,46.3216666666667,31.4133315259923,31.4133315259923
"20","M. ursinus","vertebrate",0.363340978512838,0.148333333333333,-0.215007645179505,-0.215007645179505
"21","M. ursinus","insect",14.954698258407,53.53,38.5753017415931,38.5753017415931
"22","U. maritimus","vegetal",30.452264612012,28.978,-1.47426461201203,-1.47426461201203
"23","U. maritimus","vertebrate",30.5446460538298,70.942375922,40.3977298681702,40.3977298681702
"24","U. maritimus","insect",0.178885438199983,0.08,-0.0988854381999832,-0.0988854381999832
