ID,species,species2,country,region,town,Sample ID,year,15N,Collected,Diet
258424,A.melanoleuca,A.melanoleuca,China,Szechuan,Mupin,258424,1933,1.32,NMNH,bear
258834,A.melanoleuca,A.melanoleuca,China,Szechuan,Wen Chuan,258834,1933,0.5,NMNH,bear
258835,A.melanoleuca,A.melanoleuca,China,Szechuan,Wen Chuan,258835,1933,1,NMNH,bear
258836,A.melanoleuca,A.melanoleuca,China,Szechuan,Mupin,258836,1933,2.39,NMNH,bear
259074,A.melanoleuca,A.melanoleuca,China,Szechuan,Wen Chuan,259074,1934,0.69,NMNH,bear
258556,E.cephalopus,E.cephalopus,China,Szechuan,Wen Chuan,258556 a,1933,1.33,NMNH,herbivore
258557,E.cephalopus,E.cephalopus,China,Szechuan,Wen Chuan,258557,1933,2.47,NMNH,herbivore
258679,E.cephalopus,E.cephalopus,China,Szechuan,Mupin,258679,1933,1.52,NMNH,herbivore
258680,E.cephalopus,E.cephalopus,China,Szechuan,Mupin,258680,1933,3.17,NMNH,herbivore
258681,E.cephalopus,E.cephalopus,China,Szechuan,Mupin,258681,1933,2.09,NMNH,herbivore
258688,E.cephalopus,E.cephalopus,China,Szechuan,Wen Chuan,258688,1933,5.05,NMNH,herbivore
258689,E.cephalopus,E.cephalopus,China,Szechuan,Wen Chuan,258689,1933,4.88,NMNH,herbivore
151859,R.Unicolor,R.Unicolor,Indonesia,Borneo,Saratok River,151859,1908,6.46,NMNH,herbivore
151860,R.Unicolor,R.Unicolor,Indonesia,Borneo,"Pamukang Bay, Menyngal River",151860,1908,5.83,NMNH,herbivore
151861,R.Unicolor,R.Unicolor,Indonesia,Borneo,"Pamukang Bay, Susulang River",151861,1908,3.46,NMNH,herbivore
197694,R.Unicolor,R.Unicolor,Indonesia,Borneo,Domaring River,196894,1913,6.98,NMNH,herbivore
197695,R.Unicolor,R.Unicolor,Indonesia,Borneo,"Sangata River, S Bank",197695,1913,3.91,NMNH,herbivore
197696,R.Unicolor,R.Unicolor,Indonesia,Borneo,Kalindakkan,197696,1913,4.87,NMNH,herbivore
197697,R.Unicolor,R.Unicolor,Indonesia,Borneo,Kalindakkan,197697,1913,5.25,NMNH,herbivore
63474,C.elaphus,C.elaphus,India,Jammu and Kashmir,Nagmarg,63474,1895,3.13,NMNH,herbivore
198673,C.elaphus,C.elaphus,India,Jammu and Kashmir,Probably E End of Valley,198673,1913,2.41,NMNH,herbivore
293120,R.tarandus,R.tarandus,United States,Alaska,"Point Barrow, 25 Mi S",293120,1951,6.02,NMNH,herbivore
293121,R.tarandus,R.tarandus,United States,Alaska,"Point Barrow, 25 Mi S",293121,1951,5.39,NMNH,herbivore
293122,R.tarandus,R.tarandus,United States,Alaska,"Point Barrow, 200 Mi SW; Driftwood, Utukok River",293122,1951,3.1,NMNH,herbivore
294030,R.tarandus,R.tarandus,United States,Alaska,"Point Barrow, Near",294030,1950,2.18,NMNH,herbivore
294031,R.tarandus,R.tarandus,United States,Alaska,"Point Barrow, Near",294031,1950,1.65,NMNH,herbivore
294032,R.tarandus,R.tarandus,United States,Alaska,"Point Barrow, Near",294032,1950,0.48,NMNH,herbivore
158524,O. virginianus,O. virginianus,United States,New Mexico,Mogollon Mountains,158524,1906,5,NMNH,herbivore
157134,O. virginianus,O. virginianus,United States,New Mexico,Animas Mountains,157134,1908,3.36,NMNH,herbivore
157636,O. virginianus,O. virginianus,United States,New Mexico,"Gila National Forest, Nigreta River",157636,1908,4.18,NMNH,herbivore
128752,O. virginianus,O. virginianus,United States,New Mexico,Pecos Baldy,128752,1903,4.09,NMNH,herbivore
131569,O. virginianus,O. virginianus,United States,New Mexico,Manzano Mountains,131569,1903,4.47,NMNH,herbivore
135060,O. virginianus,O. virginianus,United States,New Mexico,Gallinas Mountains,135060,1904,6.18,NMNH,herbivore
21351,Mazama,Mazama,Peru,Peru and Venezuela,ayacucho,21351,1965,2.42,MUSM ,herbivore
2165,Mazama,Mazama,Peru,Peru and Venezuela,cuzco,2165,1990,2.66,MUSM ,herbivore
13029,Mazama,Mazama,Peru,Peru and Venezuela,puno,13029,1986,3.51,MUSM ,herbivore
2168,Mazama,Mazama,Peru,Peru and Venezuela,puerto inca,2168,1990,6.83,MUSM ,herbivore
254917,M.moschata,M.moschata,China,Szechuan,Suifu,254917,1929,10.37,NMNH,omnivore
254918,M.moschata,M.moschata,China,Szechuan,Suifu,254918,1929,10.28,NMNH,omnivore
255528,M.moschata,M.moschata,China,Szechuan,Suifu,255528,1930,6.41,NMNH,omnivore
