,X.1,X,Tray..,ID.Tray,ID,species,species.1,State,weigth,Sample.ID,X15N,R,X15N_percent,Total.N,Diet,Locality,year,date,region,speciesID,species2,animal
1,1,1,1,A1,258424,A.melanoleuca,A.melanoleuca,Sichuan,1.4,258424,1.32,0.00368,0.36678,210.78,bear,Mupin,1933,1933,Sichuan-China,AM,A.melanoleuca,A.melanoleuca
2,2,2,1,A2,258834,A.melanoleuca,A.melanoleuca,Sichuan,1.43,258834,0.5,0.00368,0.36649,210.81,bear,Wen Chuan,1933,1933,Sichuan-China,AM,A.melanoleuca,A.melanoleuca
3,3,3,1,A3,258835,A.melanoleuca,A.melanoleuca,Sichuan,1.61,258835,1,0.00368,0.36667,236.19,bear,Wen Chuan,1933,1933,Sichuan-China,AM,A.melanoleuca,A.melanoleuca
4,4,4,1,A4,258836,A.melanoleuca,A.melanoleuca,Sichuan,1.09,258836,2.39,0.00369,0.36718,158.61,bear,Mupin,1933,1933,Sichuan-China,AM,A.melanoleuca,A.melanoleuca
5,5,5,1,A5,259074,A.melanoleuca,A.melanoleuca,Sichuan,1.01,259074,0.69,0.00368,0.36656,155.8,bear,Wen Chuan,1934,1934,Sichuan-China,AM,A.melanoleuca,A.melanoleuca
6,6,6,1,A6,258556,E.cephalopus,E.cephalopus,Sichuan,1.31,258556 a,1.33,0.00368,0.36679,184.38,herbivore,Wen Chuan,1933,1933,Sichuan-China,EC,E.cephalopus,E.cephalopus
7,7,7,1,A7,258557,E.cephalopus,E.cephalopus,Sichuan,1.16,258557,2.47,0.00369,0.3672,147.38,herbivore,Wen Chuan,1933,1933,Sichuan-China,EC,E.cephalopus,E.cephalopus
8,8,8,1,A8,258679,E.cephalopus,E.cephalopus,Sichuan,1.01,258679,1.52,0.00368,0.36686,148.19,herbivore,Mupin,1933,1933,Sichuan-China,EC,E.cephalopus,E.cephalopus
9,9,9,1,A9,258680,E.cephalopus,E.cephalopus,Sichuan,0.94,258680,3.17,0.00369,0.36746,103.29,herbivore,Mupin,1933,1933,Sichuan-China,EC,E.cephalopus,E.cephalopus
10,10,10,1,A10,258681,E.cephalopus,E.cephalopus,Sichuan,0.91,258681,2.09,0.00368,0.36707,121.8,herbivore,Mupin,1933,1933,Sichuan-China,EC,E.cephalopus,E.cephalopus
11,11,11,1,A11,258688,E.cephalopus,E.cephalopus,Sichuan,0.94,258688,5.05,0.0037,0.36814,131.71,herbivore,Wen Chuan,1933,1933,Sichuan-China,EC,E.cephalopus,E.cephalopus
12,12,12,1,A12,258689,E.cephalopus,E.cephalopus,Sichuan,1.03,258689,4.88,0.00369,0.36808,146.49,herbivore,Wen Chuan,1933,1933,Sichuan-China,EC,E.cephalopus,E.cephalopus
13,13,13,1,B1,151859,R.Unicolor,R.Unicolor,Borneo,0.89,151859,6.46,0.0037,0.36866,106.94,herbivore,Saratok River,1908,1908,Borneo-Indonesia,RU,R.Unicolor,R.Unicolor
14,14,14,1,B2,151860,R.Unicolor,R.Unicolor,Borneo,1.75,151860,5.83,0.0037,0.36843,230.29,herbivore,"Pamukang Bay, Menyngal River",1908,1908,Borneo-Indonesia,RU,R.Unicolor,R.Unicolor
15,15,15,1,B3,151861,R.Unicolor,R.Unicolor,Borneo,1.79,151861,3.46,0.00369,0.36757,212.51,herbivore,"Pamukang Bay, Susulang River",1908,1908,Borneo-Indonesia,RU,R.Unicolor,R.Unicolor
16,16,16,1,B4,197694,R.Unicolor,R.Unicolor,Borneo,1.11,196894,6.98,0.0037,0.36885,146.66,herbivore,Domaring River,1913,1913,Borneo-Indonesia,RU,R.Unicolor,R.Unicolor
17,17,17,1,B5,197695,R.Unicolor,R.Unicolor,Borneo,0.91,197695,3.91,0.00369,0.36773,126.58,herbivore,"Sangata River, S Bank",1913,1913,Borneo-Indonesia,RU,R.Unicolor,R.Unicolor
18,18,18,1,B6,197696,R.Unicolor,R.Unicolor,Borneo,0.62,197696,4.87,0.00369,0.36808,89.85,herbivore,Kalindakkan,1913,1913,Borneo-Indonesia,RU,R.Unicolor,R.Unicolor
19,19,19,1,B7,197697,R.Unicolor,R.Unicolor,Borneo,0.99,197697,5.25,0.0037,0.36822,134.49,herbivore,Kalindakkan,1913,1913,Borneo-Indonesia,RU,R.Unicolor,R.Unicolor
20,20,20,1,B8,63474,C.elaphus,C.elaphus,NIndia,1.53,63474,3.13,0.00369,0.36745,148.49,herbivore,Nagmarg,1895,1895,Jammu and Kashmir-India,CE,C.elaphus,C.elaphus
21,21,21,1,B9,198673,C.elaphus,C.elaphus,NIndia,1.3,198673,2.41,0.00369,0.36718,139.58,herbivore,Probably E End of Valley,1913,1913,Jammu and Kashmir-India,CE,C.elaphus,C.elaphus
22,22,22,1,B10,293120,R.tarandus,R.tarandus,Alaska,1,293120,6.02,0.0037,0.3685,95.04,herbivore,"Point Barrow, 25 Mi S",1951,1951,Alaska-US,RT,R.tarandus,R.tarandus
23,23,23,1,B11,293121,R.tarandus,R.tarandus,Alaska,1.17,293121,5.39,0.0037,0.36827,162.22,herbivore,"Point Barrow, 25 Mi S",1951,1951,Alaska-US,RT,R.tarandus,R.tarandus
24,24,24,1,B12,293122,R.tarandus,R.tarandus,Alaska,0.9,293122,3.1,0.00369,0.36744,88.3,herbivore,"Point Barrow, 200 Mi SW; Driftwood, Utukok River",1951,1951,Alaska-US,RT,R.tarandus,R.tarandus
25,25,25,1,C1,294030,R.tarandus,R.tarandus,Alaska,1.04,294030,2.18,0.00368,0.3671,140.02,herbivore,"Point Barrow, Near",1950,1950,Alaska-US,RT,R.tarandus,R.tarandus
26,26,26,1,C2,294031,R.tarandus,R.tarandus,Alaska,0.73,294031,1.65,0.00368,0.36691,98.93,herbivore,"Point Barrow, Near",1950,1950,Alaska-US,RT,R.tarandus,R.tarandus
27,27,27,1,C3,294032,R.tarandus,R.tarandus,Alaska,0.8,294032,0.48,0.00368,0.36648,104.59,herbivore,"Point Barrow, Near",1950,1950,Alaska-US,RT,R.tarandus,R.tarandus
28,28,28,1,C4,158524,O. virginianus,O. virginianus,New Mexico,0.98,158524,5,0.00369,0.36813,135.74,herbivore,Mogollon Mountains,1906,1906,New Mexico-US,OV,O. virginianus,O. virginianus
29,29,29,1,C5,157134,O. virginianus,O. virginianus,New Mexico,0.71,157134,3.36,0.00369,0.36753,99.47,herbivore,Animas Mountains,1908,1908,New Mexico-US,OV,O. virginianus,O. virginianus
30,30,30,1,C6,157636,O. virginianus,O. virginianus,New Mexico,0.86,157636,4.18,0.00369,0.36783,115.26,herbivore,"Gila National Forest, Nigreta River",1908,1908,New Mexico-US,OV,O. virginianus,O. virginianus
31,31,31,1,C7,128752,O. virginianus,O. virginianus,New Mexico,0.83,128752,4.09,0.00369,0.3678,120.2,herbivore,Pecos Baldy,1903,1903,New Mexico-US,OV,O. virginianus,O. virginianus
32,32,32,1,C8,131569,O. virginianus,O. virginianus,New Mexico,0.98,131569,4.47,0.00369,0.36793,126.98,herbivore,Manzano Mountains,1903,1903,New Mexico-US,OV,O. virginianus,O. virginianus
33,33,33,1,C9,135060,O. virginianus,O. virginianus,New Mexico,0.46,135060,6.18,0.0037,0.36856,62.54,herbivore,Gallinas Mountains,1904,1904,New Mexico-US,OV,O. virginianus,O. virginianus
34,34,34,1,C10,21351,Mazama,M. chunyi,Peru,1,21351,2.42,0.00369,0.36719,14.68,herbivore,ayacucho,1965,1965,Peru & Venezuela,Ma,Mazama,Mazama
35,35,35,1,C11,2165,Mazama,M. chunyi,Peru,1,2165,2.66,0.00369,0.36727,14.58,herbivore,cuzco,1990,NA,Peru & Venezuela,Ma,Mazama,Mazama
36,36,36,1,C12,13029,Mazama,M. chunyi,Peru,1.3,13029,3.51,0.00369,0.36758,21.08,herbivore,puno,1986,1986,Peru & Venezuela,Ma,Mazama,Mazama
37,37,37,1,D1,2168,Mazama,M. americana,Peru,1.2,2168,6.83,0.0037,0.36879,15.48,herbivore,puerto inca,1990,NA,Peru & Venezuela,Ma,Mazama,Mazama
38,38,38,1,D2,254917,M.moschata,M.moschata,Sichuan,1.25,254917,10.37,0.00371,0.37009,177.49,omnivore,Suifu,1929,1929,Sichuan-China,MM,M.moschata,M.moschata
39,39,39,1,D3,254918,M.moschata,M.moschata,Sichuan,0.5,254918,10.28,0.00371,0.37005,72.9,omnivore,Suifu,1929,1929,Sichuan-China,MM,M.moschata,M.moschata
40,40,40,1,D4,255528,M.moschata,M.moschata,Sichuan,0.99,255528,6.41,0.0037,0.36864,139.75,omnivore,Suifu,1930,1930,Sichuan-China,MM,M.moschata,M.moschata
41,41,41,1,D5,240996,M.moschata,M.moschata,Sichuan,0.74,240996,8.06,0.00371,0.36925,104.6,omnivore,Suifu,1925,1925,Sichuan-China,MM,M.moschata,M.moschata
42,42,42,1,D6,258352,M.moschata,M.moschata,Sichuan,1.21,258352 a,6.5,0.0037,0.36867,175.54,omnivore,Sichuan,1932,1932,Sichuan-China,MM,M.moschata,M.moschata
43,43,43,1,D7,254588,M.moschata,M.moschata,Sichuan,0.67,254588,7.97,0.00371,0.36921,99.45,omnivore,Suifu,1929,1929,Sichuan-China,MM,M.moschata,M.moschata
44,44,44,1,D8,151876,P.hermaphroditus,P.hermaphroditus,Borneo,0.5,151876,9.13,0.00371,0.36963,49.78,omnivore,Klumpang Bay,1908,1908,Borneo-Indonesia,PH,P.hermaphroditus,P.hermaphroditus
45,45,45,1,D9,196618,P.hermaphroditus,P.hermaphroditus,Borneo,0.51,196618,8.48,0.00371,0.3694,72.5,omnivore,Segah River,1912,1912,Borneo-Indonesia,PH,P.hermaphroditus,P.hermaphroditus
46,46,46,1,D10,196619,P.hermaphroditus,P.hermaphroditus,Borneo,0.5,196619,7.6,0.0037,0.36908,68.99,omnivore,"Segah River, Long Min Jaw",1912,1912,Borneo-Indonesia,PH,P.hermaphroditus,P.hermaphroditus
47,47,47,1,D11,197241,P.hermaphroditus,P.hermaphroditus,Borneo,0.48,197241,7.37,0.0037,0.36899,69.84,omnivore,"Sengata River, S Bank",1913,1913,Borneo-Indonesia,PH,P.hermaphroditus,P.hermaphroditus
